Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
14 August21:53,Viper,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,14 August,Successful
15 August10:58,Viper,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,15 August,Successful
15 August20:25,Super Loki,,United States,Wallops Island,NASA,,NASA,Suborbital,Aeronomy research,15 August,Successful
19 August17:50,Long March 3B,,China,Xichang LC-2,,Agila 2,MPSC,Geosynchronous,Communications,In orbit,Operational
21 August00:38,Delta II 7920-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 26
Iridium 25
Iridium 24
Iridium 23
Iridium 22","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","In orbit
14 May 2018
11 May 2019
28 March 2018
In orbit","Operational
Successful
Spacecraft Failure
Successful
Operational"
23 August06:51,LMLV-1 (Athena I),,United States,Vandenberg SLC-6,Lockheed Martin,Lewis,NASA,Low Earth,Earth observation,29 September,Spacecraft failure,"
Control lost within three days of launch due to RCS design flaw.
"
25 August14:39,Delta II 7920-8,,United States,Cape Canaveral LC-17A,Boeing IDS,ACE,NASA,Earth/Sun L1 point,Magnetospheric research,In orbit,Operational
28 August00:33,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,PAS 5,PanAmSat,Geosynchronous,Communications,In orbit,Operational
29 August15:02,Pegasus-XL,,United States,"Stargazer, Vandenberg",Orbital Sciences,FORTE,US Air Force,Low Earth,Ionosphere research,In orbit,Operational
1 September14:00,Long March 2D,,China,Taiyuan LC-1,CASC,"Iridium MFS-1
Iridium MFS-2","Iridium
Iridium","Low Earth
Low Earth","Boilerplate spacecraft
Boilerplate spacecraft","In orbit
In orbit","Successful
Successful"
2 September07:00,Terrier-Orion,,Anna Plains,United States,NASA,DUNDEE 1,NASA,Suborbital,Target,2 September,Successful
2 September22:21,Ariane 4 (44LP),,France,Kourou ELA-2,Arianespace,"Hot Bird 3
Meteosat 7","Eutelsat
Eumetsat","Geosynchronous
Geosynchronous","Communications
Meteorology","In orbit
In orbit","Operational
Operational"
4 September12:03,Atlas IIAS,,United States,Cape Canaveral LC-36A,International Launch Services,GE 3,GE Americom,Geosynchronous,Communications,In orbit,Operational
5 September04:00,Terrier=Orion,,Anna Plains,United States,NASA,DUNDEE 2,NASA,Suborbital,Target,5 September,Successful
10 September02:00,Terrier-Orion,,Anna Plains,United States,NASA,DUNDEE 3,NASA,Suborbital,Target,10 September,Successful
10 September14:40,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Test rocket,10 September,Successful
10 September15:10,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Microgravity research,10 September,Successful
11 September20:15,Terrier-Orion,,Anna Plains,United States,NASA,DUNDEE 4,NASA,Suborbital,Target,11 September,Successful
14 September01:36,Proton-K/17S40,,Kazakhstan,Baikonur Site 81/23,,"Iridium 29
Iridium 32
Iridium 33
Iridium 27
Iridium 28
Iridium 30
Iridium 31","Iridium
Iridium
Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications
Communications
Communications","In orbit
10 March 2019
10 February 2009
1 February 2002
In orbit
28 September 2017
20 December 2018","Operational
Successful
Partial Failure
Spacecraft Failure
Operational
Successful
Successful","
Iridium 33 destroyed in collision with Kosmos 2251
"
17 September08:01,LGM-118 Peacekeeper,,United States,Vandenberg LF-05,US Air Force,7 re-entry vehicles,US Air Force,Suborbital,Missile test,17 September,Successful
19 September13:00,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Ionosphere research,19 September,Successful
23 September16:44,Kosmos-3M,,Russia,Plesetsk Site 132/1,,"Kosmos 2346 (Parus)
FAISAT-2V","MO RF
FAI","Low Earth
Low Earth","Navigation
Communications","In orbit
In orbit","Operational
Operational"
23 September23:58,Ariane 4 (42L),,France,Kourou ELA-2,Arianespace,Intelsat 803,Intelsat,Geosynchronous,Communications,In orbit,Operational
24 September,Storm-2,,United States,White Sands LC-32,US Air Force,MTTV-4,US Air Force,Suborbital,Target,24 September,Successful
24 September21:30,Molniya-M,,Russia,Plesetsk Site 43/4,,Molniya-1T,MO RF,Molniya,Communications,In orbit,Operational
25 September00:30,TR-1,,Japan,Tanegashima LA-T,NASDA,,NASDA,Suborbital,Microgravity research,25 September,Successful
26 September02:34,Space Shuttle Atlantis,,United States,Kennedy LC-39A,United Space Alliance,"STS-86
SpaceHab LDM","NASA
NASA/SpaceHab","Low Earth (Mir)
Low Earth (Atlantis)","Shuttle-Mir flight
Logistics","
Crewed orbital flight with seven astronauts
"
27 September01:23,Delta II 7920-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 19
Iridium 37
Iridium 36
Iridium 35
Iridium 34","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","7 April 2018
26 May 2018
In orbit
26 December 2018
8 January 2018","Successful
Successful
Operational
Successful
Successful"
29 September04:47,PSLV,,India,Sriharikota FLP,ISRO,IRS-1D,ISRO,Sun-synchronous,Remote sensing,In orbit,Operational
30 September20:10,Black Brant IX,,United States,White Sands LC-36,NASA,HRTS 10,NASA,Suborbital,Solar research,30 September,Successful
3 October07:07,RT-2PM Topol,,Russia,Plesetsk Site 158,RVSN,,RVSN,Suborbital,Missile test,3 October,Successful
4 October18:30,Castor-Orbus,,United States,Nevada Test Site LA-26,Sandia,,Sandia,Suborbital,Test rocket,4 October,Failure
5 October15:08,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,"Progress M-36
Sputnik-40
X-Mir","Roskosmos
Roskosmos
DASA","Low Earth (Mir)
Low Earth
Low Earth (Mir)","Logistics
Amateur communications
Inspect Mir","19 December13:20
21 May 1998
2 October 1998","Successful
Successful
Successful"
5 October21:01,Atlas IIAS,,United States,Cape Canaveral LC-36B,International Launch Services,Echostar 3,EchoStar,Geosynchronous,Communications,In orbit,Operational
9 October17:59,Soyuz-U,,Russia,Plesetsk Site 43/3,,Foton 11,Roskosmos,Low Earth,Microgravity research,23 October,Successful
10 October,UGM-133 Trident II,,United Kingdom,"Submarine, Eastern Range",Royal Navy,,Royal Navy,Suborbital,Missile test,10 October,Successful
10 October,UGM-133 Trident II,,United Kingdom,"Submarine, Eastern Range",Royal Navy,,Royal Navy,Suborbital,Missile test,10 October,Successful
12 October16:42,VS-30,,Norway,Andøya,INPE,AL-VS30-226,DLR,Suborbital,Aeronomy research,12 October,Successful
15 October08:43,Titan IVB (401)/Centaur,,United States,Cape Canaveral LC-40,Lockheed Martin,"Cassini
Huygens","NASA
NASA/ESA","Kronocentric Orbit
Kronocentric Orbit","Saturn orbiter
Titan lander","15 September 201710:31
14 January 200512:43","Successful
Successful","
Cassini is the first spacecraft to orbit Saturn and Huygens is the first spacecraft to land on Titan.Huygens released from Cassini on 25 December 2004.
"
16 October19:00,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Solar research,16 October,Successful
16 October19:13,Long March 3B,,China,Xichang LC-2,,Apstar 2R,APT,Geosynchronous,Communications,In orbit,Operational
22 October13:13,Pegasus-XL,,United States,"Stargazer, Wallops Island",Orbital Sciences,STEP-4,US Air Force,Low Earth,,31 March 2001,Successful
24 October02:32,Titan IVA (403),,United States,Vandenberg SLC-4E,Lockheed Martin,USA-133 (Lacrosse 3),NRO,Low Earth,Reconnaissance,In orbit,Operational
25 October00:46,Atlas IIA,,United States,Cape Canaveral LC-36A,,"USA-135 (DSCS III F13)
FalconSat Gold","US Air Force
USAFA","Geosynchronous
Geosynchronous transfer","Communications
Technology demonstration","In orbit
27 September 1998","Operational
Successful"
30 October13:43,Ariane 5G,,France,Kourou ELA-3,Arianespace,"MAQSAT-H
MAQSAT-B
TEAMSAT
YES","ESA
ESA
ESTEC
ESTEC","Geosynchronous transfer
Geosynchronous transfer
Geosynchronous transfer
Geosynchronous transfer","Boilerplate
Boilerplate
Technology development
Technolovy development","In orbit
In orbit
In orbit
In orbit","Successful
Successful
Operational
Operational"
2 November12:25,VLS-1,,Brazil,Alcântara,INPE,SCD-2A,INPE,Intended: Low Earth,Weather satellite,2 November,Launch Failure,"
Maiden flight of VLS-1; First Brazilian orbital launch attempt
"
5 November20:02,Terrier-Orion,,Norway,Andøya,NASA,Combined Sodium and Sporadic Layers,NASA,Suborbital,Ionosphere research,5 November,Successful
