Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
17 August04:37,Delta II 7420-10C,,United States,Cape Canaveral SLC-17B,Boeing IDS,"Globalstar 24
Globalstar 27
Globalstar 54
Globalstar 53","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
18 August18:00,Soyuz-U,,Russia,Plesetsk Site 43/3,,Kosmos 2365 (Yantar-4K1),MO RF,Low Earth,Reconnaissance,15 December,Successful
18 August18:05,Black Brant 9CM1,,United States,White Sands LC-43,NASA,,NASA,Suborbital,Solar research,18 August,Successful,"
Data used to calibrate SOHO spacecraft
"
20 August08:45,Minuteman III,,United States,Vandenberg LF-10,US Air Force,RCT-1 GT-170GM/RRF-6,US Air Force,Suborbital,Missile test,20 August,Successful
20 August11:27,Minuteman III,,United States,Vandenberg LF-09,US Air Force,FOT GT-171GM,US Air Force,Suborbital,Missile test,20 August,Successful
24 August07:07,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Ultraviolet astronomy,24 August,Successful
26 August12:02,Kosmos-3M,,Russia,Plesetsk Site 132/1,,Kosmos 2366 (Parus),MO RF,Low Earth,Navigation,In orbit,Operational
29 August,Kosmos-3MP,,Russia,Kapustin Yar Area 107,RVSN,Re-entry vehicle,RVSN,Suborbital,Test RV,29 August,Failure
3 September11:44,Topol M,,Russia,Plesetsk Site 158,RVSN,,RVSN,Suborbital,Missile test,3 September,Successful
4 September22:34,Ariane 4 42P,,France,Kourou ELA-2,Arianespace,Koreasat 3,Korea Telecom,Geosynchronous,Communications,In orbit,Operational
6 September,SR-19,,United States,"Aircraft, Wake Island",Orbital Sciences,TCMP-3A,US Air Force,Suborbital,Test re-entry vehicle,6 September,Successful
6 September16:36,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,,"Yamal 101
Yamal 102","AO Gazco
AO Gazco","Operational: GeosynchronousCurrent: Graveyard
Geosynchronous","Communications
Communications","In orbit
In orbit","Spacecraft failure
Operational"
9 September18:00,Soyuz-U,,Russia,Plesetsk Site 43/4,,Foton 12,RAKA/ESA,Low Earth,Microgravity research,24 September,Successful
15 September21:00,Castor M57A1,,United States,Kodiak,,,US Air Force,Suborbital,Test flight,15 September,Successful
22 September14:33,Soyuz-U/Ikar,,Kazakhstan,Baikonur Site 1/5,Starsem,"Globalstar 58
Globalstar 50
Globalstar 33
Globalstar 55","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
23 September06:02,Atlas IIAS,,United States,Cape Canaveral SLC-36A,International Launch Services,Echostar 5,EchoStar,Geosynchronous,Communications,In orbit,Operational
24 September,SM-3,,United States,"USS Shiloh, Pacific Missile Range",US Navy,,US Navy,Suborbital,Missile test,24 September,Successful
